Carrera Escogida,Escuela de Origen,Municipio,Estado,Sexo,Estado Civil,calFin,Paso
TSU EN PROCESOS ALIMENTARIOS,CECYTEH PLANTEL POXINDEJE,ATLAPEXCO,PUEBLA,HOMBRE,SOLTERO,8,1
TSU EN MECATRONICA Area Automatizacion,CECYTE ATLAPEXCO,ATLAPEXCO,HIDALGO,MUJER,DIVORCIADO,8,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,COBAEH PLANTEL TEHUETLAN,HUEJUTLA DE REYES,JALISCO,MUJER,DIVORCIADO,6,0
TSU EN CONTADURIA,COBAEH HUEJUTLA,ATLAPEXCO,HIDALGO,MUJER,SOLTERO,8,1
TSU EN PROCESOS ALIMENTARIOS,COBAEH HUEJUTLA,ATLAPEXCO,HIDALGO,HOMBRE,SOLTERO,8,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,YAHUALICA,MEXICO,MUJER,SOLTERO,9,1
TSU EN CONSTRUCCION,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,HUEJUTLA DE REYES,PUEBLA,MUJER,VIUDO,8,1
TSU EN GASTRONOMIA,COBAEH PLANTEL TEHUETLAN,TLANCHINOL,YUCATAN,HOMBRE,DIVORCIADO,10,1
TSU EN AGROBIOTECNOLOGIA,CONALEP CIUDAD AZTECA,HUEJUTLA DE REYES,PUEBLA,MUJER,DIVORCIADO,3,0
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CBTA # 5 (HUEJUTLA),ATLAPEXCO,PUEBLA,MUJER,DIVORCIADO,10,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CECYTE HUEJUTLA,YAHUALICA,MEXICO,MUJER,CASADO,10,1
TSU EN CONSTRUCCION,COBAEH PLANTEL MECATLAN,HUEJUTLA DE REYES,YUCATAN,HOMBRE,SOLTERO,8,1
TSU EN MERCADOTECNIA,COBAEH PLANTEL TIANGUISTENGO,HUEJUTLA DE REYES,JALISCO,MUJER,SOLTERO,10,1
TSU EN CONSTRUCCION,CECYTEH PLANTEL POXINDEJE,ATLAPEXCO,YUCATAN,MUJER,SOLTERO,8,1
TSU EN MERCADOTECNIA,COBAEH PLANTEL TEHUETLAN,ATLAPEXCO,JALISCO,HOMBRE,VIUDO,8,1
TSU EN MERCADOTECNIA,CONALEP CIUDAD AZTECA,HUEJUTLA DE REYES,YUCATAN,HOMBRE,DIVORCIADO,9,1
TSU EN MECATRONICA Area Automatizacion,CONALEP CIUDAD AZTECA,ATLAPEXCO,HIDALGO,MUJER,SOLTERO,9,1
TSU EN MECATRONICA Area Automatizacion,COBAEH PLANTEL MECATLAN,ATLAPEXCO,YUCATAN,HOMBRE,VIUDO,7,0
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CONALEP CIUDAD AZTECA,ATLAPEXCO,MEXICO,HOMBRE,SOLTERO,2,0
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CBTA # 5 (HUEJUTLA),ATLAPEXCO,JALISCO,HOMBRE,CASADO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CONALEP CIUDAD AZTECA,ATLAPEXCO,PUEBLA,HOMBRE,DIVORCIADO,9,1
TSU EN AGROBIOTECNOLOGIA,COBAEH PLANTEL TIANGUISTENGO,YAHUALICA,MEXICO,HOMBRE,VIUDO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,COBAEH PLANTEL SANTA CATARINA,ATLAPEXCO,JALISCO,HOMBRE,SOLTERO,5,0
TSU EN MECATRONICA Area Automatizacion,COBAEH PLANTEL MECATLAN,TLANCHINOL,JALISCO,HOMBRE,DIVORCIADO,10,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CBTA # 5 (HUEJUTLA),HUEJUTLA DE REYES,PUEBLA,MUJER,VIUDO,1,0
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CECYTE HUEJUTLA,YAHUALICA,HIDALGO,HOMBRE,DIVORCIADO,10,1
TSU EN MERCADOTECNIA,COBAEH PLANTEL SANTA CATARINA,YAHUALICA,MEXICO,HOMBRE,DIVORCIADO,7,0
TSU EN CONSTRUCCION,COBAEH PLANTEL SANTA CATARINA,ATLAPEXCO,PUEBLA,HOMBRE,CASADO,10,1
TSU EN AGROBIOTECNOLOGIA,COBAEH PLANTEL TEHUETLAN,HUEJUTLA DE REYES,PUEBLA,MUJER,DIVORCIADO,2,0
TSU EN MERCADOTECNIA,CECYTEH PLANTEL POXINDEJE,TLANCHINOL,HIDALGO,HOMBRE,VIUDO,5,0
TSU EN CONSTRUCCION,COBAEH PLANTEL TEHUETLAN,ATLAPEXCO,MEXICO,HOMBRE,DIVORCIADO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,COBAEH PLANTEL MECATLAN,HUEJUTLA DE REYES,PUEBLA,MUJER,VIUDO,2,0
TSU EN MERCADOTECNIA,CONALEP CIUDAD AZTECA,ATLAPEXCO,HIDALGO,HOMBRE,DIVORCIADO,10,1
TSU EN PROCESOS ALIMENTARIOS,CECYTE HUEJUTLA,ATLAPEXCO,MEXICO,MUJER,SOLTERO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CBTA # 5 (HUEJUTLA),ATLAPEXCO,YUCATAN,MUJER,CASADO,6,0
TSU EN CONSTRUCCION,CECYTE ATLAPEXCO,ATLAPEXCO,JALISCO,HOMBRE,SOLTERO,8,1
TSU EN AGROBIOTECNOLOGIA,CONALEP CIUDAD AZTECA,ATLAPEXCO,HIDALGO,MUJER,CASADO,8,1
TSU EN CONSTRUCCION,COBAEH ATLAPEXCO,ATLAPEXCO,JALISCO,HOMBRE,VIUDO,10,1
TSU EN MERCADOTECNIA,COBAEH PLANTEL TEHUETLAN,ATLAPEXCO,YUCATAN,HOMBRE,CASADO,9,1
TSU EN MERCADOTECNIA,CECYTE ATLAPEXCO,TLANCHINOL,PUEBLA,MUJER,DIVORCIADO,3,0
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CBTA # 5 (HUEJUTLA),YAHUALICA,PUEBLA,MUJER,DIVORCIADO,1,0
TSU EN AGROBIOTECNOLOGIA,CBTA # 5 (HUEJUTLA),TLANCHINOL,MEXICO,HOMBRE,SOLTERO,4,0
TSU EN CONTADURIA,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,ATLAPEXCO,HIDALGO,HOMBRE,CASADO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,ATLAPEXCO,HIDALGO,MUJER,VIUDO,10,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),TLANCHINOL,MEXICO,HOMBRE,VIUDO,4,0
TSU EN AGROBIOTECNOLOGIA,CONALEP CIUDAD AZTECA,TLANCHINOL,JALISCO,HOMBRE,DIVORCIADO,9,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",COBAEH PLANTEL SANTA CATARINA,YAHUALICA,PUEBLA,HOMBRE,VIUDO,5,0
TSU EN AGROBIOTECNOLOGIA,COBAEH PLANTEL SANTA CATARINA,TLANCHINOL,PUEBLA,MUJER,DIVORCIADO,9,1
TSU EN AGROBIOTECNOLOGIA,COBAEH PLANTEL MECATLAN,YAHUALICA,HIDALGO,HOMBRE,DIVORCIADO,2,0
TSU EN CONSTRUCCION,CECYTEH PLANTEL PACHUCA,ATLAPEXCO,HIDALGO,HOMBRE,DIVORCIADO,7,0
TSU EN AGROBIOTECNOLOGIA,COBAEH PLANTEL JALTOCAN,HUEJUTLA DE REYES,MEXICO,HOMBRE,SOLTERO,9,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,COBAEH PLANTEL TEHUETLAN,HUEJUTLA DE REYES,YUCATAN,MUJER,SOLTERO,5,0
TSU EN CONTADURIA,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,HUEJUTLA DE REYES,JALISCO,MUJER,DIVORCIADO,10,1
TSU EN MERCADOTECNIA,COBAEH PLANTEL TEHUETLAN,HUEJUTLA DE REYES,YUCATAN,MUJER,DIVORCIADO,9,1
TSU EN GASTRONOMIA,COBAEH PLANTEL JALTOCAN,ATLAPEXCO,YUCATAN,HOMBRE,DIVORCIADO,8,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CECYTE HUEJUTLA,HUEJUTLA DE REYES,HIDALGO,MUJER,VIUDO,8,1
TSU EN MERCADOTECNIA,CONALEP CIUDAD AZTECA,TLANCHINOL,HIDALGO,HOMBRE,DIVORCIADO,8,1
TSU EN GASTRONOMIA,CECYTE HUEJUTLA,TLANCHINOL,HIDALGO,MUJER,DIVORCIADO,8,1
TSU EN CONTADURIA,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),HUEJUTLA DE REYES,YUCATAN,HOMBRE,CASADO,8,1
TSU EN CONTADURIA,CECYTE HUEJUTLA,TLANCHINOL,JALISCO,MUJER,CASADO,8,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",COBAEH PLANTEL TIANGUISTENGO,YAHUALICA,HIDALGO,HOMBRE,CASADO,9,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",COBAEH PLANTEL JALTOCAN,ATLAPEXCO,PUEBLA,HOMBRE,CASADO,9,1
TSU EN CONTADURIA,CECYTEH PLANTEL POXINDEJE,HUEJUTLA DE REYES,JALISCO,MUJER,DIVORCIADO,10,1
TSU EN GASTRONOMIA,CONALEP CIUDAD AZTECA,HUEJUTLA DE REYES,PUEBLA,HOMBRE,CASADO,8,1
TSU EN AGROBIOTECNOLOGIA,CECYTEH PLANTEL PACHUCA,ATLAPEXCO,JALISCO,MUJER,VIUDO,8,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,TLANCHINOL,HIDALGO,MUJER,VIUDO,6,0
TSU EN PROCESOS ALIMENTARIOS,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,ATLAPEXCO,MEXICO,HOMBRE,CASADO,7,0
TSU EN MERCADOTECNIA,COBAEH HUEJUTLA,ATLAPEXCO,HIDALGO,HOMBRE,SOLTERO,7,0
TSU EN CONSTRUCCION,CECYTE HUEJUTLA,TLANCHINOL,YUCATAN,MUJER,VIUDO,6,0
TSU EN MERCADOTECNIA,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),ATLAPEXCO,YUCATAN,MUJER,VIUDO,3,0
TSU EN CONSTRUCCION,COBAEH PLANTEL MECATLAN,TLANCHINOL,JALISCO,MUJER,CASADO,8,1
TSU EN GASTRONOMIA,CBTA # 5 (HUEJUTLA),TLANCHINOL,YUCATAN,HOMBRE,CASADO,3,0
TSU EN CONSTRUCCION,COBAEH PLANTEL SANTA CATARINA,ATLAPEXCO,HIDALGO,MUJER,DIVORCIADO,9,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CECYTE ATLAPEXCO,YAHUALICA,PUEBLA,HOMBRE,VIUDO,5,0
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,COBAEH PLANTEL TIANGUISTENGO,TLANCHINOL,HIDALGO,HOMBRE,CASADO,3,0
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,COBAEH PLANTEL TEHUETLAN,ATLAPEXCO,JALISCO,MUJER,CASADO,9,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",COBAEH PLANTEL TEHUETLAN,TLANCHINOL,YUCATAN,MUJER,DIVORCIADO,10,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),YAHUALICA,PUEBLA,HOMBRE,VIUDO,10,1
TSU EN GASTRONOMIA,CECYTEH PLANTEL POXINDEJE,YAHUALICA,MEXICO,HOMBRE,CASADO,10,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,COBAEH PLANTEL TIANGUISTENGO,HUEJUTLA DE REYES,PUEBLA,HOMBRE,DIVORCIADO,8,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,COBAEH PLANTEL TIANGUISTENGO,TLANCHINOL,PUEBLA,HOMBRE,CASADO,2,0
TSU EN MERCADOTECNIA,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),TLANCHINOL,HIDALGO,MUJER,SOLTERO,8,1
TSU EN CONTADURIA,COBAEH PLANTEL MECATLAN,ATLAPEXCO,MEXICO,HOMBRE,SOLTERO,1,0
TSU EN MERCADOTECNIA,COBAEH PLANTEL MECATLAN,TLANCHINOL,JALISCO,MUJER,CASADO,9,1
TSU EN CONTADURIA,COBAEH ATLAPEXCO,HUEJUTLA DE REYES,JALISCO,MUJER,VIUDO,8,1
TSU EN PROCESOS ALIMENTARIOS,CECYTE HUEJUTLA,YAHUALICA,PUEBLA,MUJER,SOLTERO,8,1
TSU EN CONSTRUCCION,CECYTEH PLANTEL POXINDEJE,YAHUALICA,PUEBLA,HOMBRE,DIVORCIADO,6,0
TSU EN CONTADURIA,COBAEH PLANTEL TEHUETLAN,HUEJUTLA DE REYES,YUCATAN,HOMBRE,CASADO,9,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,TLANCHINOL,MEXICO,MUJER,DIVORCIADO,3,0
TSU EN MERCADOTECNIA,CECYTEH PLANTEL SAN FELIPE,TLANCHINOL,PUEBLA,MUJER,SOLTERO,6,0
TSU EN GASTRONOMIA,CECYTEH PLANTEL PACHUCA,HUEJUTLA DE REYES,YUCATAN,MUJER,VIUDO,8,1
TSU EN CONSTRUCCION,COBAEH PLANTEL MECATLAN,ATLAPEXCO,MEXICO,MUJER,DIVORCIADO,8,1
TSU EN PROCESOS ALIMENTARIOS,COBAEH ATLAPEXCO,YAHUALICA,JALISCO,HOMBRE,SOLTERO,4,0
TSU EN CONTADURIA,CECYTEH PLANTEL POXINDEJE,HUEJUTLA DE REYES,YUCATAN,MUJER,SOLTERO,9,1
TSU EN PROCESOS ALIMENTARIOS,CECYTEH PLANTEL PACHUCA,HUEJUTLA DE REYES,MEXICO,HOMBRE,SOLTERO,10,1
TSU EN GASTRONOMIA,COBAEH PLANTEL JALTOCAN,TLANCHINOL,YUCATAN,HOMBRE,DIVORCIADO,4,0
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CECYTEH PLANTEL PACHUCA,YAHUALICA,PUEBLA,HOMBRE,SOLTERO,9,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,TLANCHINOL,HIDALGO,HOMBRE,CASADO,5,0
TSU EN GASTRONOMIA,COBAEH PLANTEL TIANGUISTENGO,HUEJUTLA DE REYES,JALISCO,MUJER,SOLTERO,10,1
TSU EN MECATRONICA Area Automatizacion,CECYTE HUEJUTLA,ATLAPEXCO,PUEBLA,HOMBRE,CASADO,1,0
TSU EN GASTRONOMIA,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,YAHUALICA,PUEBLA,MUJER,VIUDO,8,1
TSU EN PROCESOS ALIMENTARIOS,CBTA # 5 (HUEJUTLA),HUEJUTLA DE REYES,MEXICO,HOMBRE,CASADO,10,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,HUEJUTLA DE REYES,YUCATAN,MUJER,VIUDO,9,1
TSU EN MERCADOTECNIA,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,ATLAPEXCO,JALISCO,MUJER,VIUDO,3,0
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CECYTE ATLAPEXCO,HUEJUTLA DE REYES,PUEBLA,MUJER,CASADO,10,1
TSU EN PROCESOS ALIMENTARIOS,CECYTEH PLANTEL PACHUCA,HUEJUTLA DE REYES,MEXICO,MUJER,VIUDO,8,1
TSU EN MERCADOTECNIA,COBAEH ATLAPEXCO,YAHUALICA,JALISCO,MUJER,CASADO,10,1
TSU EN MECATRONICA Area Automatizacion,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,YAHUALICA,YUCATAN,HOMBRE,DIVORCIADO,9,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,COBAEH PLANTEL MECATLAN,YAHUALICA,PUEBLA,MUJER,VIUDO,2,0
TSU EN CONSTRUCCION,CECYTE ATLAPEXCO,TLANCHINOL,PUEBLA,HOMBRE,CASADO,9,1
TSU EN PROCESOS ALIMENTARIOS,CBTA # 5 (HUEJUTLA),ATLAPEXCO,PUEBLA,MUJER,VIUDO,10,1
TSU EN CONTADURIA,COBAEH PLANTEL SANTA CATARINA,YAHUALICA,JALISCO,HOMBRE,SOLTERO,10,1
TSU EN PROCESOS ALIMENTARIOS,COBAEH PLANTEL JALTOCAN,TLANCHINOL,JALISCO,HOMBRE,CASADO,8,1
TSU EN PROCESOS ALIMENTARIOS,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),TLANCHINOL,JALISCO,HOMBRE,SOLTERO,4,0
TSU EN MERCADOTECNIA,CBTA # 5 (HUEJUTLA),ATLAPEXCO,JALISCO,MUJER,VIUDO,3,0
TSU EN AGROBIOTECNOLOGIA,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,ATLAPEXCO,MEXICO,HOMBRE,VIUDO,2,0
TSU EN GASTRONOMIA,INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,HUEJUTLA DE REYES,HIDALGO,MUJER,DIVORCIADO,10,1
TSU EN AGROBIOTECNOLOGIA,COBAEH PLANTEL TEHUETLAN,TLANCHINOL,MEXICO,MUJER,CASADO,9,1
TSU EN MECATRONICA Area Automatizacion,CECYTEH PLANTEL POXINDEJE,YAHUALICA,PUEBLA,HOMBRE,SOLTERO,8,1
TSU EN CONTADURIA,CECYTEH PLANTEL SAN FELIPE,ATLAPEXCO,MEXICO,HOMBRE,DIVORCIADO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CECYTE ATLAPEXCO,TLANCHINOL,YUCATAN,MUJER,VIUDO,8,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,YAHUALICA,JALISCO,MUJER,VIUDO,9,1
TSU EN MECATRONICA Area Automatizacion,CBTA # 5 (HUEJUTLA),TLANCHINOL,YUCATAN,MUJER,DIVORCIADO,2,0
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,COBAEH PLANTEL TIANGUISTENGO,ATLAPEXCO,YUCATAN,MUJER,SOLTERO,9,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CECYTE HUEJUTLA,HUEJUTLA DE REYES,PUEBLA,MUJER,VIUDO,10,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,TLANCHINOL,JALISCO,MUJER,VIUDO,9,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,YAHUALICA,YUCATAN,HOMBRE,CASADO,2,0
TSU EN AGROBIOTECNOLOGIA,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,ATLAPEXCO,PUEBLA,MUJER,DIVORCIADO,8,1
TSU EN PROCESOS ALIMENTARIOS,CONALEP CIUDAD AZTECA,HUEJUTLA DE REYES,JALISCO,MUJER,VIUDO,9,1
TSU EN CONSTRUCCION,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),YAHUALICA,HIDALGO,HOMBRE,SOLTERO,9,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,BACHILLERATO DEL ESTADO DE HIDALGO (PLANTEL YAHUALICA),YAHUALICA,PUEBLA,HOMBRE,CASADO,8,1
TSU EN CONTADURIA,CONALEP CIUDAD AZTECA,YAHUALICA,MEXICO,HOMBRE,DIVORCIADO,10,1
TSU EN MECATRONICA Area Automatizacion,CECYTEH PLANTEL SAN FELIPE,TLANCHINOL,JALISCO,MUJER,SOLTERO,10,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CECYTE ATLAPEXCO,ATLAPEXCO,YUCATAN,HOMBRE,VIUDO,9,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,CBTA # 5 (HUEJUTLA),YAHUALICA,YUCATAN,HOMBRE,DIVORCIADO,10,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CECYTE HUEJUTLA,TLANCHINOL,MEXICO,MUJER,DIVORCIADO,9,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",COBAEH HUEJUTLA,ATLAPEXCO,MEXICO,MUJER,SOLTERO,9,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,COBAEH PLANTEL TIANGUISTENGO,ATLAPEXCO,YUCATAN,MUJER,DIVORCIADO,8,1
TSU EN MERCADOTECNIA,CENTRO DE ESTUDIOS DE BACHILLERATO MAESTRO MOISES SAENZ GARZA,TLANCHINOL,JALISCO,MUJER,SOLTERO,10,1
TSU EN GASTRONOMIA,COBAEH PLANTEL MECATLAN,TLANCHINOL,PUEBLA,HOMBRE,VIUDO,10,1
TSU EN CONTADURIA,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,YAHUALICA,MEXICO,MUJER,CASADO,8,1
TSU EN PROCESOS ALIMENTARIOS,CECYTE HUEJUTLA,ATLAPEXCO,MEXICO,HOMBRE,SOLTERO,9,1
TSU EN PROCESOS ALIMENTARIOS,CECYTEH PLANTEL SAN FELIPE,HUEJUTLA DE REYES,MEXICO,MUJER,CASADO,9,1
TSU EN CONTADURIA,COBAEH PLANTEL JALTOCAN,TLANCHINOL,HIDALGO,HOMBRE,DIVORCIADO,9,1
TSU EN MERCADOTECNIA,COBAEH PLANTEL SANTA CATARINA,ATLAPEXCO,JALISCO,MUJER,SOLTERO,8,1
TSU EN PROCESOS ALIMENTARIOS,COBAEH HUEJUTLA,ATLAPEXCO,JALISCO,MUJER,VIUDO,2,0
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",INSTITUTO TECNOLOGICO DE EDUCACION MEDIA SUPERIOR,YAHUALICA,JALISCO,MUJER,SOLTERO,9,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CONALEP CIUDAD AZTECA,HUEJUTLA DE REYES,JALISCO,HOMBRE,SOLTERO,10,1
TSU EN MECATRONICA Area Automatizacion,CECYTEH PLANTEL SAN FELIPE,YAHUALICA,JALISCO,HOMBRE,SOLTERO,10,1
TSU EN AGROBIOTECNOLOGIA,CECYTEH PLANTEL SAN FELIPE,HUEJUTLA DE REYES,YUCATAN,HOMBRE,CASADO,10,1
TSU EN PROCESOS ALIMENTARIOS,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,HUEJUTLA DE REYES,MEXICO,MUJER,CASADO,3,0
TSU EN CONTADURIA,COBAEH PLANTEL TEHUETLAN,TLANCHINOL,YUCATAN,HOMBRE,DIVORCIADO,9,1
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,CECYTE ATLAPEXCO,ATLAPEXCO,HIDALGO,MUJER,DIVORCIADO,9,1
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,COBAEH PLANTEL TEHUETLAN,ATLAPEXCO,PUEBLA,MUJER,DIVORCIADO,9,1
TSU EN GASTRONOMIA,COBAEH ATLAPEXCO,ATLAPEXCO,MEXICO,MUJER,DIVORCIADO,10,1
TSU EN CONTADURIA,COBAEH PLANTEL MECATLAN,HUEJUTLA DE REYES,HIDALGO,HOMBRE,SOLTERO,9,1
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",COBAEH PLANTEL TIANGUISTENGO,ATLAPEXCO,YUCATAN,MUJER,CASADO,8,1
TSU EN GASTRONOMIA,COBAEH PLANTEL TEHUETLAN,TLANCHINOL,PUEBLA,HOMBRE,CASADO,9,1
TSU EN MECATRONICA Area Automatizacion,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,HUEJUTLA DE REYES,HIDALGO,MUJER,CASADO,6,0
TSU EN MECATRONICA Area Automatizacion,COBAEH PLANTEL SANTA CATARINA,HUEJUTLA DE REYES,PUEBLA,MUJER,CASADO,1,0
TSU EN MERCADOTECNIA,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,HUEJUTLA DE REYES,HIDALGO,MUJER,DIVORCIADO,10,1
TSU EN CONSTRUCCION,COBAEH PLANTEL SANTA CATARINA,HUEJUTLA DE REYES,YUCATAN,HOMBRE,SOLTERO,5,0
TSU EN MERCADOTECNIA,CECYTEH PLANTEL SAN FELIPE,TLANCHINOL,PUEBLA,HOMBRE,CASADO,1,0
TSU EN MECANICA AUTOMOTRIZ - TSU EN MECANICA INDUSTRIAL,COBAEH PLANTEL SANTA CATARINA,ATLAPEXCO,HIDALGO,MUJER,VIUDO,5,0
TSU EN GASTRONOMIA,CECYTE HUEJUTLA,TLANCHINOL,YUCATAN,HOMBRE,SOLTERO,9,1
TSU EN CONSTRUCCION,COBAEH PLANTEL TIANGUISTENGO,ATLAPEXCO,MEXICO,HOMBRE,VIUDO,2,0
TSU EN TECNOLOGIAS DE LA INFORMACION AREA DE SOFTWARE MULTIPLATAFORMA,COBAEH ATLAPEXCO,TLANCHINOL,YUCATAN,MUJER,SOLTERO,3,0
"TSU EN EMPRENDIMIENTO, FORMULACION Y EVALUACION DE PROYECTOS",CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NO. 83,YAHUALICA,YUCATAN,MUJER,SOLTERO,5,0
TSU EN GASTRONOMIA,CECYTE HUEJUTLA,YAHUALICA,MEXICO,HOMBRE,SOLTERO,9,1
